timestamp,label,frame_idx,yolo_fake_conf,yolo_real_conf,yolo_n_boxes,yolo_top_class,fft_score,color_score,screen_score,face_detected,face_w,face_h,brightness_mean,brightness_std,inference_ms
2026-02-24T10:03:45.541415,real,0,0.9370,0.0000,1,0,0.0000,0.0000,0.0000,0,0,0,155.4,53.5,9466
2026-02-24T10:03:54.717821,real,1,0.9437,0.0000,1,0,0.0000,0.0000,0.0000,0,0,0,216.4,57.1,8895
2026-02-24T10:04:04.062234,real,2,0.9461,0.0000,1,0,0.0000,0.0000,0.0000,0,0,0,211.8,62.6,9321
2026-02-24T10:04:05.367897,real,3,0.9240,0.0000,1,0,1.0000,0.0000,0.5500,1,254,254,201.8,65.2,1143
2026-02-24T10:04:06.532317,real,4,0.9399,0.0000,1,0,1.0000,0.0000,0.5500,1,269,269,201.4,65.0,1144
2026-02-24T10:04:07.612224,real,5,0.9290,0.0000,1,0,1.0000,0.0000,0.5500,1,258,258,201.1,65.1,1069
2026-02-24T10:04:08.689589,real,6,0.9222,0.0000,1,0,1.0000,0.0000,0.5500,1,261,261,201.8,64.2,1066
2026-02-24T10:04:09.686066,real,7,0.9417,0.0000,1,0,1.0000,0.0000,0.5500,1,257,257,203.1,62.8,989
2026-02-24T10:04:10.718212,real,8,0.9311,0.0000,1,0,1.0000,0.0000,0.5500,1,263,263,193.5,63.2,1020
2026-02-24T10:04:11.835386,real,9,0.9407,0.0000,1,0,1.0000,0.0000,0.5500,1,257,257,190.2,63.3,1106
2026-02-24T10:04:12.935873,real,10,0.9339,0.0000,1,0,1.0000,0.0000,0.5500,1,262,262,190.1,63.6,1089
2026-02-24T10:04:14.180913,real,11,0.9489,0.0000,1,0,1.0000,0.0000,0.5500,1,315,315,173.5,67.2,1003
2026-02-24T10:04:15.249039,real,12,0.9565,0.0000,1,0,1.0000,0.0000,0.5500,1,314,314,176.1,66.4,1058
2026-02-24T10:04:16.277567,real,13,0.9200,0.0000,1,0,1.0000,0.0000,0.5500,1,258,258,187.0,61.7,960
2026-02-24T10:04:17.785626,real,14,0.9456,0.0000,1,0,0.0000,0.0000,0.0000,0,0,0,170.7,74.2,1088
2026-02-24T10:04:18.967588,real,15,0.7972,0.0000,1,0,1.0000,0.0000,0.5500,1,262,262,187.7,66.2,1170
2026-02-24T10:04:19.952878,real,16,0.8271,0.0000,1,0,1.0000,0.0000,0.5500,1,260,260,188.9,64.9,974
2026-02-24T10:04:20.990102,real,17,0.8668,0.0000,1,0,1.0000,0.0000,0.5500,1,262,262,189.1,64.4,1026
2026-02-24T10:04:21.991180,real,18,0.9337,0.0000,1,0,1.0000,0.0000,0.5500,1,251,251,189.6,63.9,989
2026-02-24T10:04:23.042028,real,19,0.9282,0.0000,1,0,1.0000,0.0000,0.5500,1,250,250,189.9,63.7,1037
2026-02-24T10:04:24.140210,real,20,0.9299,0.0000,1,0,1.0000,0.0000,0.5500,1,258,258,190.5,63.4,1002
2026-02-24T10:04:25.166076,real,21,0.8606,0.0000,1,0,1.0000,0.0000,0.5500,1,257,257,190.8,63.2,1014
2026-02-24T10:04:26.262413,real,22,0.9421,0.0000,1,0,1.0000,0.0000,0.5500,1,257,257,190.9,63.2,1084
2026-02-24T10:04:30.049398,real,23,0.9369,0.0000,1,0,1.0000,0.0000,0.5500,1,234,234,190.7,64.0,3771
2026-02-24T10:04:39.806897,real,24,0.9569,0.0000,1,0,1.0000,0.0000,0.5500,1,253,253,190.1,64.4,9725
2026-02-24T10:04:47.047805,real,25,0.9425,0.0000,1,0,1.0000,0.0000,0.5500,1,231,231,188.0,66.9,7216
2026-02-24T10:04:48.421375,real,26,0.9470,0.0000,1,0,1.0000,0.0000,0.5500,1,254,254,188.8,65.0,1297
2026-02-24T10:04:49.520890,real,27,0.9499,0.0000,1,0,1.0000,0.0000,0.5500,1,252,252,189.3,63.9,1085
2026-02-24T10:04:50.610756,real,28,0.9479,0.0000,1,0,1.0000,0.0000,0.5500,1,257,257,189.6,63.3,1073
2026-02-24T10:04:54.366559,real,29,0.9413,0.0000,1,0,1.0000,0.0000,0.5500,1,255,255,190.0,63.0,3733
2026-02-24T10:05:06.838239,real,30,0.9428,0.0000,1,0,1.0000,0.0000,0.5500,1,246,246,189.2,64.3,12408
2026-02-24T10:05:10.626122,real,31,0.9386,0.0000,1,0,1.0000,0.0000,0.5500,1,236,236,189.0,64.6,3620
2026-02-24T10:05:11.725346,real,32,0.8805,0.0000,1,0,1.0000,0.0000,0.5500,1,169,169,207.2,49.8,1078
2026-02-24T10:05:12.781455,real,33,0.6481,0.0000,1,0,1.0000,0.0000,0.5500,1,178,178,168.4,50.8,1045
2026-02-24T10:05:14.070489,real,34,0.9209,0.0000,1,0,1.0000,0.0000,0.5500,1,184,184,185.4,50.8,1278
2026-02-24T10:05:15.398205,real,35,0.9434,0.0000,1,0,1.0000,0.0000,0.5500,1,217,217,178.2,56.2,1037
2026-02-24T10:05:16.564405,real,36,0.9461,0.0000,1,0,1.0000,0.0000,0.5500,1,215,215,178.1,56.0,1156
2026-02-24T10:05:17.767700,real,37,0.9466,0.0000,1,0,1.0000,0.0000,0.5500,1,215,215,177.7,56.5,1192
2026-02-24T10:05:19.575358,real,38,0.9412,0.0000,1,0,1.0000,0.0000,0.5500,1,215,215,178.2,56.3,1794
2026-02-24T10:05:20.621032,real,39,0.9373,0.0000,1,0,1.0000,0.0000,0.5500,1,214,214,178.6,56.1,1032
2026-02-24T10:05:21.691019,real,40,0.9318,0.0000,1,0,1.0000,0.0000,0.5500,1,218,218,178.5,56.2,1057
2026-02-24T10:05:22.730671,real,41,0.8972,0.0000,1,0,1.0000,0.0000,0.5500,1,222,222,173.9,60.8,1027
2026-02-24T10:05:23.790300,real,42,0.8728,0.0000,1,0,1.0000,0.0000,0.5500,1,243,243,173.4,61.1,1046
2026-02-24T10:05:24.896795,real,43,0.9313,0.0000,1,0,1.0000,0.0000,0.5500,1,220,220,174.7,60.4,1092
2026-02-24T10:05:25.950493,real,44,0.9333,0.0000,1,0,0.0000,0.0000,0.0000,0,0,0,188.1,48.1,1043
2026-02-24T10:05:27.322632,real,45,0.8795,0.0000,1,0,0.0000,0.0000,0.0000,0,0,0,189.3,49.8,1310
2026-02-24T10:05:28.338784,real,46,0.9221,0.0000,1,0,1.0000,0.0000,0.5500,1,155,155,191.2,51.9,1004
2026-02-24T10:05:29.643013,real,47,0.3511,0.5144,2,1,1.0000,0.0000,0.5500,1,226,226,179.5,55.7,1093
2026-02-24T10:05:30.810604,real,48,0.6594,0.5965,2,0,1.0000,0.0000,0.5500,1,192,192,183.1,55.6,1154
2026-02-24T10:05:32.055922,real,49,0.9106,0.0000,1,0,1.0000,0.0000,0.5500,1,197,197,185.5,53.6,1234
